,tweet
0,"['harap', 'kerja', 'jalin', 'jawa', 'australia']"
1,"['duta', 'australia', 'indonesia', 'penny', 'wiliam', 'ujung', 'gubernur', 'jateng', 'ganjar', 'pranowo', 'ganjar', 'kerja', 'jawa', 'australia']"
2,"['butuh', 'jalan', 'men', 'sejati', 'teman', 'sabar', 'kurang', 'tuntut', 'drama', 'drama', 'emosional']"
3,"['ajar', 'pandang', 'hubung', 'teman', 'milik', 'satu', 'hubung', 'personalized']"
4,"['mas', 'ganjar', 'bantu', 'masyarakat', 'nikmat', 'rumah', 'layak', 'huni', 'bantu', 'rss', '30', 'terima', 'masyarakat', 'bantu', 'bentuk', 'material', 'bangun', 'nila', 'rp35', 'juta', 'rumah', 'pranowo']"
5,"['ganjar', 'bantu', 'masyarakat', 'nikmat', 'rumah', 'layak', 'huni', 'pranowo']"
6,"['rugi', 'ekonomi', 'akibat', 'sampah', 'makan', 'tara', '4', '5', 'pdb', 'indonesia']"
7,"['acara', 'sebar', 'apem', 'airlangga', 'hartarto', 'ganjar', 'pranowo', 'bareng', 'antusias', 'ribu', 'warga', 'hadir', 'hrt', 'ah']"
8,['maju']
9,"['sahabat', 'ganjar', 'sambut', 'hangat', 'komunitas', 'laku', 'umkm', 'kec', 'cibeureum', 'kota', 'tasikmalaya', 'heran', 'komunitas', 'laku', 'umkm', 'kota', 'tasikmalaya', 'deklarasi', 'ganjar', 'pranowo', 'sukses', '2024']"
10,"['ganjar', 'bektonah', 'acara', 'yaqowiyu']"
11,"['momen', 'airlangga', 'ganjar', 'tangkap', 'kamera', 'langsung', 'tradisi', 'lempar', 'apem', 'hrt', 'id']"
12,[]
13,"['airlangga', 'hartarto', 'ganjar', 'akrab', 'acara']"
14,"['santri', 'dukung', 'ganjar', 'jawa', 'barat', 'laksana', 'giat', 'safari', 'pesantren', 'garut', 'purwakarta', 'cirebon', 'tanggal', '17092022']"
15,"['terimakasih', 'tani', 'jasa', 'bidang', 'pangan', 'dukung', 'ganjar', 'tani', 'banjar', 'cinta', 'ganjar']"
16,[]
17,"['komunitas', 'laku', 'umkm', 'tasikmalaya', 'menganggumi', 'sosok', 'ganjar', 'pranowo', 'kenal', 'umkm', 'perhati', 'peduli', 'laku', 'umkm']"
18,"['sahabat', 'ganjar', 'sambut', 'hangat', 'komunitas', 'laku', 'umkm', 'camat', 'cibeureum', 'kota', 'tasikmalaya']"
19,"['bagi', 'apem', 'rangka', 'haul', 'kyai', 'ageng', 'gribig', 'tokoh', 'ulama', 'zaman', 'kerap', 'bagi', 'apem', 'dakwah']"
20,"['saba', 'baduy', 'ganjar', 'pranowo', 'arif', 'lokal']"
21,"['lomba', 'juru', 'siswa', 'sahabat', 'ganjar', 'tegang', 'gak', 'percaya', 'mending', 'nonton', 'video']"
22,"['bagi', 'apem', 'rangka', 'haul', 'kyai', 'ageng', 'gribig', 'tokoh', 'ulama', 'zaman', 'kerap', 'bagi', 'apem', 'dakwah', 'hrt', 'id']"
23,"['gak', 'kesel', 'udah', 'juara', 'selamat', 'ya', 'smk', 'it', 'marina', 'al', 'hidayah']"
24,"['giat', 'tradisi', 'lempar', 'apem', 'menko', 'airlangga', 'damping', 'gubernur', 'jateng', 'ganjar', 'pranowo', 'hrt']"
25,['ayu']
26,"['lomba', 'juru', 'siswa', 'sahabat', 'ganjar', 'sumatera', 'utara', 'selesai', 'penasaran', 'menang', 'juara', '1', 'smk', 'it', 'marinah', 'al', 'hidayah', 'juara', '2', 'smk', 'swasta', 'teladan', 'sumatera', 'utara', '2', 'juara', '3', 'smk', 'markus', '2', 'medan']"
27,"['lomba', 'juru', 'siswa', 'sahabat', 'ganjar', 'tegang', 'gak', 'percaya', 'mending', 'nonton', 'video']"
28,"['gak', 'kesel', 'udah', 'juara', 'selamat', 'ya', 'smk', 'it', 'marina', 'al', 'hidayah']"
29,"['lomba', 'juru', 'siswa', 'sahabat', 'ganjar', 'sumatera', 'utara', 'selesai', 'menang', 'juara', '1', 'smk', 'it', 'marinah', 'al', 'hidayah', 'juara', '2', 'smk', 'swasta', 'teladan', 'sumatera', 'utara', '2', 'juara', '3', 'smk', 'markus', '2', 'medan', 'selamat', 'menang']"
30,[]
31,"['gelora', 'semangat', 'bakti', 'sosial', 'sahabat', 'ganjar', 'disamput', 'sukacita', 'warga', 'kec', 'duampanua', 'kab', 'pinrang', 'sulawesi', 'selatan', 'sempat', 'rawan', 'ganjar', 'bagi', 'ratus', 'paket', 'sembako', 'masyarakat', 'butuh']"
32,"['sempat', 'sahabat', 'ganjar', 'undang', 'komunitas', 'nelayan', 'ramai', 'jalan', 'acara', 'ratus', 'nelayan', 'mendeklarkan', 'ganjar', 'pranowo', 'sukses', 'maju', '2024']"
33,"['hadir', 'sahabat', 'ganjar', 'sambut', 'animo', 'warga', 'mana', 'rawan', 'ganjar', 'hadir', 'berkah', 'salur', 'ratus', 'paket', 'sembako', 'masyarakat', 'kec', 'sungai', 'lilin', 'kab', 'mus', 'banyuasin', 'sumatera', 'selatan']"
34,"['sahabat', 'ganjar', 'laku', 'aksi', 'sosial', 'salur', 'ratus', 'paket', 'sembako', 'gandeng', 'komunitas', 'perempuan', 'kebaya', 'partisipasi', 'suara', 'dukung', 'ganjar', 'pranowo', '2024']"
35,['umamlik']
36,"['suka', 'ganjar', 'gelas', 'gimana', 'dapetinnya', 'langsung', 'cek', 'shopee', 'tokopedia', 'lupa', 'check', 'out']"
37,"['ogah', 'mana', 'gp', 'insyaallah']"
38,"['eksplorasi', 'potensi', 'alam', 'budaya', 'kendari']"
39,"['optimis', 'juta', 'kuliner', 'khas', 'daerah', 'indonesia', 'milik', 'cipta', 'juta', 'peluang', 'usaha', 'lapang', 'kerja']"
40,"['rangkai', 'giat', 'sahabat', 'ganjar', 'laku', 'aksi', 'sosial', 'salur', 'ratus', 'paket', 'sembako', 'gandeng', 'komunitas', 'perempuan', 'kebaya', 'partisipasi', 'suara', 'dukung', 'ganjar', 'pranowo', '2024']"
41,"['tuju', 'daerah', 'istimewa', 'yogyakarta', 'hadir', 'cerita', 'kesan', 'sahabat', 'ganjar', 'hadir', 'kabupaten', 'sleman', 'kota', 'yogyakarta', 'sambut', 'hangat', 'warga']"
42,"['deklarasi', 'rawan', 'ganjar', 'muda', 'padjajaran', 'jawa', 'barat', 'asa', 'indonesia', 'sosok', 'ganjar', 'pranowo', 'cocok', 'terus', 'bangun', 'jokowi']"
43,"['alhamdulillah', 'sdg', 'sumsel', 'lanjut', 'agenda', 'rutin', '2', 'kab', 'wilayah', 'sumatera', 'selatan', '17', 'september', '2022']"
44,"['ambil', 'tajuk', 'jum', 'at', 'berkah', 'sahabat', 'ganjar', 'buka', 'forum', 'komunikasi', 'warga', 'bagi', 'sembako', 'ada', 'doorprize', 'tarik', 'semarak', 'acara']"
45,"['sahabat', 'ganjar', 'galang', 'suara', 'dukung', 'ganjar', 'pranowo', 'jalin', 'silaturahmi', 'masyarakat', 'hadir', 'kecbekasi', 'barat', 'kota', 'bekas', 'jawa', 'barat']"
46,"['program', 'kartu', 'nelayan', 'asuransi', 'nelayan', 'optimal', 'ganjar', 'nelayan', 'dampak', 'sesuai', 'bbm', 'jamin', 'sejahtera', 'trending', 'twitter', 'ufotable', 'typa', 'girl']"
47,"['eko', 'kuntadhi', 'klaim', 'kenal', 'ganjar', 'pranowo']"
48,"['warga', 'desa', 'donosari', 'kendal', 'jawa', 'syukur', 'hadap', 'dana', 'bantu', 'perintah', 'provinsi', 'realisasi', 'bu', 'sri', 'ufotable']"
49,"['duta', 'australia', 'indonesia', 'penny', 'wiliam', 'ujung', 'gubernur', 'jateng', 'ganjar', 'pranowo']"
50,"['nama', 'dokter', 'lie', 'kenal', 'aksi', 'bangun', 'rumah', 'sakit', 'apung', 'kapal', 'sederhana']"
51,"['dokter', 'legendaris', 'kota', 'padang', 'gubernur', 'jawa', 'ganjar', 'pranowo', 'kepincut', 'dokter', 'nama', 'dr', 'lie', 'dharmawan', 'tugas', 'medis', 'senior', 'asal', 'kota', 'padang']"
52,"['1000', 'paket', 'sembako', 'bagi', 'dpn', 'srikandi', 'ganjar', 'masyarakat', 'kota', 'bogor']"
53,"['gubernur', 'dapet', 'give', 'away', 'sogo']"
54,"['lomba', 'juru', 'sumatera', 'utara', 'hotel', 'aryaduta', 'medan', 'tahap', 'praktik', 'configuration', 'essay', 'praktik', 'debian', 'presentasi', '20', 'tim', 'kompetisi', 'semangat', 'tampil', 'baik', 'hadap', 'juri']"
55,"['ekokuntadhi', 'gw', 'kenal', 'dg', 'eko', 'kuntadi', 'gegara', 'medsos', 'boro', 'boro', 'eko', 'kenal', 'gw', 'yg', 'gwe', 'suka', 'gaya', 'elu', 'ko', 'salam', 'juang']"
56,"['srikandi', 'ganjar', 'dpw', 'sulawesi', 'selatan', 'bantu', 'tani', 'panen', 'padi', 'kabupaten', 'sidrap']"
57,"['semangat', 'serta', 'lomba', 'juru', 'siswa', 'sahabat', 'ganjar']"
58,"['siswasiswi', 'smk', 'sumatera', 'utara', 'sahabat', 'ganjar', 'gelar', 'lomba', 'juru', 'siswa', 'sumut', 'kota', 'medan', 'sumatera', 'utara', 'serta', 'registrasi', 'lanjut', 'sambut', 'dpw', 'sumut', 'doa']"
59,"['lomba', 'juru', 'sumatera', 'utara', 'hotel', 'aryaduta', 'medan', 'tahap', 'praktik', 'configuration', 'essay', 'praktik', 'debian', 'presentasi', '20', 'tim', 'berkompetidi', 'semangat', 'tampil', 'baik', 'hadap', 'juri']"
60,"['ganjar', 'pranowo', 'sepak', 'terjang', 'senayan', '4', 'jibaku', 'uu', 'desa']"
61,"['terimakasih', 'tani', 'jasa', 'bidang', 'pangan', 'dukung', 'ganjar', 'tani', 'banjar', 'cinta', 'ganjar']"
62,['rismawidiono']
63,"['sahabat', 'ganjar', 'unjung', 'emak', 'emak', 'militan', 'camat', 'cipedes', 'kota', 'tasikmalaya', 'riah', 'acara', 'rawan', 'ganjar', 'gelar', 'bazar', 'murah', 'deklarasi', 'emak', 'emak', 'militan', 'ganjar', 'pranowo', 'sukses', '2024']"
64,"['riah', 'acara', 'rawan', 'ganjar', 'gelar', 'bazar', 'murah', 'deklarasi', 'emak', 'emak', 'militan', 'ganjar', 'pranowo', 'sukses', '2024']"
65,"['hallo', 'emak', 'emak', 'militan', 'cipedes', 'kali', 'sahabat', 'ganjar', 'unjung', 'emak', 'emak', 'militan', 'camat', 'cipedes', 'kota', 'tasikmalaya']"
66,"['sahabat', 'ganjar', 'unjung', 'emak', 'emak', 'militan', 'camat', 'cipedes', 'kota', 'tasikmalaya', 'riah', 'acara', 'rawan', 'ganjar', 'gelar', 'bazar', 'murah', 'deklarasi', 'emak', 'emak', 'militan', 'ganjar', 'pranowo', 'sukses', '2024']"
67,"['seru', 'acara', 'yaqowiyu']"
68,"['mas', 'ganjar', 'jalan', 'instruksi', 'presiden', 'jokowi', 'guna', 'kendara', 'dinas', 'bahan', 'bakar', 'listrik', 'guna', 'kendara', 'listrik', 'laksana', 'anggar', 'pranowo']"
69,"['jawa', 'catat', 'provinsi', 'tingkat', 'inflasi', 'rendah', 'tiga', 'indonesia', 'trending', 'twitter', 'bu', 'sri', 'ufotable', 'typa', 'girl', 'yeah', 'yeah', 'yeah', 'v', 'film', 'teaser', 'is', 'coming']"
70,"['yayasan', 'dokter', 'peduli', 'doctorshare', 'temu', 'puri', 'gedeh', 'kota', 'semarang', 'datang', 'realisasi', 'program', 'sehat', 'jawa', 'bu', 'sri', 'ufotable', 'typa', 'girl', 'yeah', 'yeah', 'yeah']"
71,"['cocok', 'banget', 'deh', 'ah', 'typa', 'girl']"
72,"['ambil', 'tajuk', 'jum', 'at', 'berkah', 'sahabat', 'ganjar', 'buka', 'forum', 'komunikasi', 'warga', 'bagi', 'sembako', 'ada', 'doorprize', 'tarik', 'semarak', 'acara']"
